phase,run_id,group,seed,rollout_seed,step,framework_consistency,operator_case,reward,raw_reward,response_length,truncated_ratio,rollout_kl,train_loss,pg_loss,pg_clipfrac,entropy,ppo_kl,grad_norm,mean_abs_dlogp,max_abs_dlogp,mismatch_count,active_token_count,rollout_time,train_time,step_time,update_weights_time,actor_tokens_per_second,actor_train_tflops
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,39,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.29391223192214966,0.0007897160248830914,0.0,0.012727180495858192,0.9134600162506104,35866.0,57344.0,67.41058945655823,6.4006102085113525,93.75015377998352,15.068745613098145,9245.643982957565,59.94213540854445
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,40,True,P/P,1.4901161193847656e-08,0.375,6819.875,0.5,0.0,0.0004830881953239441,0.0004830881953239441,0.003308583050966263,0.25014039874076843,0.0005372173618525267,0.5299652496677567,0.012198736891150475,0.87153160572052,31648.0,54559.0,66.93494820594788,6.3802266120910645,93.26677227020264,14.984029293060303,8914.66793939741,57.549137951648774
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,41,True,P/P,3.725290298461914e-09,0.125,6868.0,0.875,0.0,0.0003119371831417084,0.0003119371831417084,0.0029573081992566586,0.25413885712623596,0.0008641704334877431,0.5759921812033462,0.011810272932052612,0.8075380325317383,33113.0,54944.0,66.97346782684326,6.3576812744140625,93.18131494522095,14.973583221435547,8945.905789720715,57.80574746442397
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,42,True,P/P,0.0,0.0,7165.75,0.875,0.0,0.0,0.0,0.0,0.3768514394760132,0.0006598061881959438,0.0,0.014488877728581429,0.7221826314926147,39612.0,57326.0,67.3595335483551,6.3213050365448,94.62271332740784,14.997324705123901,9425.998263977033,61.162247404827674
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,43,True,P/P,3.725290298461914e-09,0.125,7052.0,0.875,0.0,3.729574382305145e-05,3.729574382305145e-05,0.002978515811264515,0.3057391941547394,0.0006695918855257332,0.5148845326503656,0.01412786915898323,0.7158371210098267,34723.0,56416.0,67.14346051216125,6.485588550567627,93.62628316879272,15.074557304382324,8980.454105249224,58.123624461271014
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,44,True,P/P,0.0,1.0,4179.5,0.0,0.0,0.0,0.0,0.0,0.2068227082490921,0.0008308816468343139,0.0,0.010345418006181717,0.5491979122161865,16073.0,33436.0,45.593576192855835,4.588877439498901,70.05687832832336,15.082818508148193,7624.88939700639,46.980004339261015
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,45,True,P/P,0.0,1.0,5467.125,0.0,0.0,0.0,0.0,0.0,0.19777163863182068,0.0008107761386781931,0.0,0.009436438791453838,0.7277637124061584,21563.0,43737.0,58.08453059196472,6.27031135559082,84.90361189842224,15.736234188079834,7257.745257757198,45.76329974769817
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,46,True,P/P,1.4901161193847656e-08,0.375,6648.25,0.625,0.0,0.00020582973957061768,0.00020582973957061768,0.003618717659264803,0.314630925655365,0.0009237479534931481,0.6064977208587643,0.013668986968696117,0.7044045925140381,35492.0,53186.0,66.36095762252808,6.325867176055908,92.73200869560242,15.137802362442017,8686.330379661544,55.92948853286966
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,47,True,P/P,3.725290298461914e-09,0.125,7126.25,0.875,0.0,0.00013535842299461365,0.00013535842299461365,0.0027693971060216427,0.42261332273483276,0.0007535129552707076,0.5918395527473749,0.01701831817626953,0.7283152341842651,42981.0,57010.0,67.75252676010132,6.369811296463013,94.2602710723877,15.044878482818604,9346.259622985497,60.641910378338565
convergence,g10-convergence-s1234-tp4-20260901j,G10,1234,1234,48,True,P/P,0.0,0.0,7168.0,1.0,0.0,0.0,0.0,0.0,0.47952818870544434,0.0006161052733659744,0.0,0.015877891331911087,0.6626149415969849,46377.0,57344.0,67.5626118183136,6.357044219970703,93.77983283996582,14.993746995925903,9362.21846040489,60.74140708074354
